|P(z)|,|p(z)|,|z-k|
1.810480528561175e-9,2.0329738596513992e18,0.950639027336251
1.810480528561175e-9,2.0329738596513992e18,1.9506383143179638
5.273623183558532e-9,2.007934651145844e18,2.947270170915779
5.273623183558532e-9,2.007934651145844e18,3.947268396814147
2.1833310818673312e-8,1.9567807754126584e18,4.940261103267425
2.1833310818673312e-8,1.9567807754126584e18,5.94025845619948
1.1060320827904431e-7,1.8733229224964045e18,6.928470995087672
1.1060320827904431e-7,1.8733229224964045e18,7.928467948875543
6.147102829654125e-7,1.755002240820105e18,8.910966172995026
6.147102829654125e-7,1.755002240820105e18,9.910963513277059
3.294254391247377e-6,1.6086487043769464e18,10.887890388233773
3.294254391247377e-6,1.6086487043769464e18,11.887888943720807
1.5599579692643078e-5,1.4512494135798054e18,12.860995611574914
1.5599579692643078e-5,1.4512494135798054e18,13.860995445079546
6.359643522204847e-5,1.300804905150317e18,14.832765543928463
0.0002468807154758501,1.14341413890793e18,15.800030116128744
0.0012925096016260795,9.344475883892161e17,16.74999929277055
0.00882044609170407,6.582420831168447e17,17.66666667148003
0.2982826232910156,3.0501459769454445e17,18.500000000012154
5152.0,4213.659568769278,18.999999999999964
